Base Class: "torch.ao.pruning.scheduler.base_scheduler.BaseScheduler", Count: 2
Base Class: "torch.ao.pruning.sparsifier.base_sparsifier.BaseSparsifier", Count: 2
Base Class: "torch.ao.quantization.fake_quantize.FakeQuantize", Count: 2
Base Class: "torch.fx.passes.infra.pass_base.PassBase", Count: 2
Base Class: "torch._C._FunctionBase", Count: 2
Base Class: "torch.autograd.function.FunctionCtx", Count: 2
Base Class: "torch.autograd.profiler_util.FormattedTimesMixin", Count: 2
Base Class: "torch.amp.autocast_mode.autocast", Count: 2
Base Class: "torch._C.Stream", Count: 2
Base Class: "torch.distributed.algorithms.join.Joinable", Count: 2
Base Class: "torch.distributed.algorithms.model_averaging.averagers.ModelAverager", Count: 2
Base Class: "torch.distributed.checkpoint.filesystem.FileSystemBase", Count: 2
Base Class: "torch.distributed.checkpoint.storage.StorageReader", Count: 2
Base Class: "torch.distributed.checkpoint.staging.AsyncStager", Count: 2
Base Class: "torch._C._distributed_c10d.Store", Count: 2
Base Class: "torch.distributed.elastic.metrics.api.MetricHandler", Count: 2
Base Class: "torch.distributed.elastic.multiprocessing.api.PContext", Count: 2
Base Class: "torch.distributed.elastic.timer.api.TimerClient", Count: 2
Base Class: "torch.distributed.fsdp._fully_shard._fsdp_api.Comm", Count: 2
Base Class: "torch.distributed.pipelining.stage._PipelineStageBase", Count: 2
Base Class: "torch.distributed.pipelining.schedules.PipelineScheduleSingle", Count: 2
Base Class: "torch.distributed.pipelining.schedules._PipelineSchedule", Count: 2
Base Class: "torch.distributions.constraints._Symmetric", Count: 2
Base Class: "builtins.dict", Count: 2
Base Class: "torch.fx.experimental.migrate_gradual_types.constraint.BinaryConstraint", Count: 2
Base Class: "torch.fx.interpreter.Transformer", Count: 2
Base Class: "torch.fx.experimental.symbolic_shapes.ShapeGuardPythonPrinter", Count: 2
Base Class: "torch.jit.frontend.FrontendError", Count: 2
Base Class: "torch.jit.quantized.QuantizedRNNBase", Count: 2
Base Class: "torch.multiprocessing.spawn.ProcessException", Count: 2
Base Class: "torch.nn.modules.upsampling.Upsample", Count: 2
Base Class: "torch.sparse.semi_structured.SparseSemiStructuredTensor", Count: 2
Base Class: "torch.utils.data.dataset.IterableDataset", Count: 2
